frame,image,timestamp,throttle,steering
1,000001.jpg,109848.138498,0.0,0.0
2,000002.jpg,109848.195089,0.0,0.0
3,000003.jpg,109848.271834,0.0,0.0
4,000004.jpg,109848.413179,0.0,0.0
5,000005.jpg,109848.417093,0.0,0.0
6,000006.jpg,109848.491679,0.0,0.0
7,000007.jpg,109848.580542,0.0,0.0
8,000008.jpg,109848.675805,0.0,0.0
9,000009.jpg,109848.793626,0.0,0.0
10,000010.jpg,109848.795350,0.0,0.0
11,000011.jpg,109848.923065,0.0,0.0
12,000012.jpg,109849.067849,0.0,0.0
13,000013.jpg,109849.070942,0.0,0.0
14,000014.jpg,109849.134511,0.0,0.0
15,000015.jpg,109849.212359,0.0,0.0
16,000016.jpg,109849.345013,0.0,0.0
17,000017.jpg,109849.346166,0.0,0.0
18,000018.jpg,109849.479930,0.0,0.0
19,000019.jpg,109849.570935,0.0,0.0
20,000020.jpg,109849.748385,0.0,0.0
21,000021.jpg,109849.750468,0.0,0.0
22,000022.jpg,109849.812177,0.0,0.0
23,000023.jpg,109849.900891,0.0,0.0
24,000024.jpg,109850.107499,0.0,0.0
25,000025.jpg,109850.109861,0.0,0.0
26,000026.jpg,109850.217585,0.0,0.0
27,000027.jpg,109850.309112,0.0,0.0
28,000028.jpg,109850.425539,0.0,0.0
29,000029.jpg,109850.427566,0.0,0.0
30,000030.jpg,109850.503556,0.0,0.0
31,000031.jpg,109850.579747,0.0,0.0
32,000032.jpg,109850.665357,0.0,0.0
33,000033.jpg,109850.787468,0.0,0.0
34,000034.jpg,109850.790253,0.0,0.0
35,000035.jpg,109850.860312,0.0,0.0
36,000036.jpg,109850.956963,0.0,0.0
37,000037.jpg,109851.051979,0.0,0.0
38,000038.jpg,109851.150936,0.0,0.0
39,000039.jpg,109851.152976,0.0,0.0
40,000040.jpg,109851.234841,0.0,0.0
41,000041.jpg,109851.311451,0.0,0.0
42,000042.jpg,109851.377731,0.0,0.0
43,000043.jpg,109851.520875,0.0,0.0
44,000044.jpg,109851.524364,0.0,0.0
45,000045.jpg,109851.586387,0.0,0.0
46,000046.jpg,109851.676770,0.0,0.0
47,000047.jpg,109851.793228,0.0,0.0
48,000048.jpg,109851.795380,0.0,0.0
49,000049.jpg,109851.867931,0.0,0.0
50,000050.jpg,109851.945092,0.0,0.0
51,000051.jpg,109852.040149,0.0,0.0
52,000052.jpg,109852.177929,0.0,0.0
53,000053.jpg,109852.180561,0.0,0.0
54,000054.jpg,109852.320485,0.0,0.0
55,000055.jpg,109852.392736,0.0,0.0
56,000056.jpg,109852.461682,0.0,0.0
57,000057.jpg,109852.586920,0.0,0.0
58,000058.jpg,109852.589137,0.0,0.0
59,000059.jpg,109852.672900,0.0,0.0
60,000060.jpg,109852.748950,0.0,0.0
61,000061.jpg,109852.837557,0.0,0.0
62,000062.jpg,109852.921031,0.0,0.0
63,000063.jpg,109853.033502,0.0,0.0
64,000064.jpg,109853.035917,0.0,0.0
65,000065.jpg,109853.106359,0.0,0.0
66,000066.jpg,109853.182508,0.0,0.0
67,000067.jpg,109853.279995,0.0,0.0
68,000068.jpg,109853.380788,0.0,0.0
69,000069.jpg,109853.453170,0.0,0.0
70,000070.jpg,109853.454748,0.0,0.0
71,000071.jpg,109853.520318,0.0,0.0
72,000072.jpg,109853.594857,0.0,0.0
73,000073.jpg,109853.682360,0.0,0.0
74,000074.jpg,109853.754751,0.0,0.0
75,000075.jpg,109853.894655,0.0,0.0
76,000076.jpg,109853.897140,0.0,0.0
77,000077.jpg,109853.970594,0.0,0.0
78,000078.jpg,109854.052057,0.0,0.0
79,000079.jpg,109854.106369,0.0,0.0
80,000080.jpg,109854.240829,0.0,0.0
81,000081.jpg,109854.243341,0.0,0.0
82,000082.jpg,109854.327977,0.0,0.0
83,000083.jpg,109854.403469,0.0,0.0
84,000084.jpg,109854.577777,0.0,0.0
85,000085.jpg,109854.579983,0.0,0.0
86,000086.jpg,109854.671201,0.0,0.0
87,000087.jpg,109854.765597,0.0,0.0
88,000088.jpg,109854.915568,0.0,0.0
89,000089.jpg,109854.917475,0.0,0.0
90,000090.jpg,109855.047365,0.0,0.0
91,000091.jpg,109855.215536,0.0,0.0
92,000092.jpg,109855.336036,0.0,0.0
93,000093.jpg,109855.339803,0.0,0.0
94,000094.jpg,109855.408058,0.0,0.0
95,000095.jpg,109855.482839,0.0,0.0
96,000096.jpg,109855.564406,0.0,0.0
97,000097.jpg,109855.694712,0.0,0.0
98,000098.jpg,109855.696998,0.0,0.0
99,000099.jpg,109855.763193,0.0,0.0
100,000100.jpg,109855.852277,0.0,0.0
101,000101.jpg,109855.983260,0.0,0.0
102,000102.jpg,109855.985330,0.0,0.0
103,000103.jpg,109856.092509,0.0,0.0
104,000104.jpg,109856.212906,0.0,0.0
105,000105.jpg,109856.333357,0.0,0.0
106,000106.jpg,109856.337112,0.0,0.0
107,000107.jpg,109856.406211,0.0,0.0
108,000108.jpg,109856.549232,0.0,0.0
109,000109.jpg,109856.553650,0.0,0.0
110,000110.jpg,109856.647963,0.0,0.0
111,000111.jpg,109856.839797,0.0,0.0
112,000112.jpg,109856.917319,0.0,0.0
113,000113.jpg,109856.918260,0.0,0.0
114,000114.jpg,109856.993293,0.0,0.0
115,000115.jpg,109857.148530,0.0,0.0
116,000116.jpg,109857.150715,0.0,0.0
117,000117.jpg,109857.250842,0.0,0.0
118,000118.jpg,109857.377086,0.0,0.0
119,000119.jpg,109857.380287,0.0,0.0
120,000120.jpg,109857.536185,0.0,0.0
121,000121.jpg,109857.605407,0.0,0.0
122,000122.jpg,109857.717250,0.0,0.0
123,000123.jpg,109857.718459,0.0,0.0
124,000124.jpg,109857.793485,0.0,0.0
125,000125.jpg,109857.927808,0.0,0.0
126,000126.jpg,109857.931365,0.0,0.0
127,000127.jpg,109857.995286,0.0,0.0
128,000128.jpg,109858.135269,0.0,0.0
129,000129.jpg,109858.221406,0.0,0.0
130,000130.jpg,109858.222404,0.0,0.0
131,000131.jpg,109858.287665,0.0,0.0
132,000132.jpg,109858.443805,0.0,0.0
133,000133.jpg,109858.445006,0.0,0.0
134,000134.jpg,109858.513310,0.0,0.0
135,000135.jpg,109858.639760,0.0,0.0
136,000136.jpg,109858.641226,0.0,0.0
137,000137.jpg,109858.730031,0.0,0.0
138,000138.jpg,109858.853425,0.0,0.0
139,000139.jpg,109858.933750,0.0,0.0
140,000140.jpg,109858.935974,0.0,0.0
141,000141.jpg,109859.019120,0.0,0.0
142,000142.jpg,109859.142409,0.0,0.0
143,000143.jpg,109859.144418,0.0,0.0
144,000144.jpg,109859.220544,0.0,0.0
145,000145.jpg,109859.354477,0.0,0.0
146,000146.jpg,109859.444625,0.0,0.0
147,000147.jpg,109859.447162,0.0,0.0
148,000148.jpg,109859.604270,0.0,0.0
149,000149.jpg,109859.721736,0.0,0.0
150,000150.jpg,109859.724716,0.0,0.0
151,000151.jpg,109859.833238,0.0,0.0
152,000152.jpg,109859.928870,0.0,0.0
153,000153.jpg,109860.012823,0.0,0.0
154,000154.jpg,109860.015595,0.0,0.0
155,000155.jpg,109860.097571,0.0,0.0
156,000156.jpg,109860.227731,0.0,0.0
157,000157.jpg,109860.229779,0.0,0.0
158,000158.jpg,109860.327230,0.0,0.0
159,000159.jpg,109860.384268,0.0,0.0
160,000160.jpg,109860.536255,0.0,0.0
161,000161.jpg,109860.538272,0.0,0.0
162,000162.jpg,109860.613336,0.0,0.0
163,000163.jpg,109860.723119,0.0,0.0
